name,gender,status,affiliation,faction,role,weapon,emotion,mission_count,location,rank,loyalty
Cormac O'Connor,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Knife,grieving,2,High Table,3,6
Abraham,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Assassin,Shotgun,vengeful,1,High Table Vault,7,8
Victor,Male,Excommunicated,The Desert,The Desert,Information Broker,Pistol,nervous,3,High Table,8,8
The Adjudicator,Female,Excommunicated,Ruska Roma,Ruska Roma,Information Broker,Shotgun,vengeful,0,Continental Osaka,7,9
Eli,Male,Deceased,The Desert,The Desert,Assassin,Explosives,calm,3,High Table,6,5
The Director,Female,Excommunicated,Berlin,Berlin,Sniper,Katana,furious,3,High Table,9,10
Marquis Vincent Bisset de Gramont,Male,Alive,Berlin,Berlin,Courier,Pistol,strategic,2,High Table Vault,5,7
Mayhew,Male,Alive,Casablanca,Casablanca,Assassin,Katana,calm,1,Tarkov Brotherhood,6,7
Luca,Male,Deceased,High Table Vault,High Table Vault,Doctor,Pistol,vengeful,0,High Table,4,3
Shimazu Koji,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Knife,vengeful,0,Ruska Roma,5,5
Tatarkov,Male,Deceased,Bowery Network,Bowery Network,Sniper,Poison,vengeful,2,High Table Vault,2,6
Mr. Nobody,Male,Deceased,Berlin,Berlin,Manager,Rifle,furious,5,Casablanca,7,4
Tatarkov,Male,Deceased,Bowery Network,Bowery Network,Cleaner,Rifle,cold,4,High Table,1,3
Akira Shimazu,Female,Deceased,High Table Vault,High Table Vault,Courier,Explosives,furious,1,The Desert,2,3
Zero,Male,Excommunicated,Berlin,Berlin,Sniper,Explosives,nervous,0,Ruska Roma,1,2
Killa Harkan,Male,Deceased,High Table,High Table,Scout,Katana,grieving,1,Berlin,8,1
The Tailor,Male,Deceased,Ruska Roma,Ruska Roma,Scout,Rifle,calm,1,High Table,10,9
The Priest,Male,Alive,Bowery Network,Bowery Network,Manager,Shotgun,grieving,5,High Table Vault,3,1
Sasha,Female,Excommunicated,Continental NYC,Continental NYC,Information Broker,Knife,strategic,0,Tarkov Brotherhood,2,8
Zarina,Female,Alive,The Desert,The Desert,Courier,Katana,nervous,2,Continental Osaka,9,9
Hansel,Male,Alive,Ruska Roma,Ruska Roma,Scout,Bare Hands,focused,0,Casablanca,3,5
Ernest,Male,Deceased,The Desert,The Desert,Cleaner,Rifle,grieving,5,The Desert,2,6
Gregor,Male,Deceased,Ruska Roma,Ruska Roma,Cleaner,Katana,grieving,4,Ruska Roma,6,9
Lena Macarro,Female,Alive,Bowery Network,Bowery Network,Assassin,Rifle,focused,4,Continental NYC,7,1
Victor,Male,Alive,The Desert,The Desert,Scout,Knife,grieving,3,Berlin,1,7
Lena Macarro,Female,Deceased,Bowery Network,Bowery Network,Cleaner,Shotgun,nervous,5,Ruska Roma,7,3
Gianna D'Antonio,Female,Excommunicated,Casablanca,Casablanca,Scout,Rifle,cold,5,Yakuza Syndicate,8,9
Sofia Al-Azwar,Female,Excommunicated,High Table Vault,High Table Vault,Cleaner,Bare Hands,nervous,5,Berlin,8,1
Young Winston Scott,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Explosives,cold,1,Yakuza Syndicate,1,10
Tarak,Male,Excommunicated,High Table Vault,High Table Vault,Sniper,Knife,furious,5,Yakuza Syndicate,2,4
The Cook,Male,Deceased,Berlin,Berlin,Manager,Pistol,nervous,5,High Table,3,1
Young Winston Scott,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Bare Hands,grieving,2,High Table Vault,6,5
O'Connor,Male,Alive,Continental Osaka,Continental Osaka,Courier,Rifle,nervous,0,The Desert,1,1
Boris,Male,Deceased,High Table,High Table,Courier,Bare Hands,vengeful,3,High Table,7,9
Uncle Pyotr Jovonovich,Male,Excommunicated,Berlin,Berlin,Manager,Katana,cold,4,Ruska Roma,6,9
Lou Burton,Male,Deceased,Bowery Network,Bowery Network,Scout,Katana,furious,0,Yakuza Syndicate,2,5
Orson,Male,Alive,High Table Vault,High Table Vault,Information Broker,Rifle,cold,4,High Table Vault,5,10
O'Connor,Male,Alive,Continental Osaka,Continental Osaka,Courier,Knife,focused,3,Bowery Network,5,5
Karl,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Courier,Bare Hands,furious,1,High Table,2,10
Santino D'Antonio,Male,Alive,Continental Osaka,Continental Osaka,Manager,Explosives,strategic,2,Continental Osaka,7,1
Jardani Jovonovich,Male,Excommunicated,Ruska Roma,Ruska Roma,Manager,Rifle,grieving,0,Berlin,4,4
Dimitri,Male,Deceased,The Desert,The Desert,Courier,Poison,strategic,0,Yakuza Syndicate,10,8
Zarina,Female,Deceased,The Desert,The Desert,Manager,Knife,cold,0,Ruska Roma,4,3
Charon O'Connor,Male,Deceased,High Table Vault,High Table Vault,Information Broker,Poison,nervous,1,Casablanca,10,8
The Russian,Male,Alive,Continental Osaka,Continental Osaka,Sniper,Explosives,nervous,3,Casablanca,10,2
Orson,Male,Alive,High Table Vault,High Table Vault,Scout,Pistol,strategic,2,The Desert,7,8
Abraham,Male,Deceased,Yakuza Syndicate,Yakuza Syndicate,Doctor,Explosives,grieving,0,Bowery Network,1,7
Frank,Male,Deceased,Continental Osaka,Continental Osaka,Manager,Shotgun,strategic,0,High Table,4,4
Victor,Male,Excommunicated,The Desert,The Desert,Information Broker,Shotgun,vengeful,4,Berlin,1,6
Sofia Al-Azwar,Female,Excommunicated,High Table Vault,High Table Vault,Assassin,Knife,cold,3,Bowery Network,3,1
Yuri,Male,Deceased,Ruska Roma,Ruska Roma,Sniper,Rifle,vengeful,1,High Table Vault,4,3
Miles Burton,Male,Excommunicated,Berlin,Berlin,Assassin,Katana,cold,5,High Table Vault,1,8
Katia Jovonovich,Female,Excommunicated,Continental Osaka,Continental Osaka,Information Broker,Explosives,vengeful,3,Ruska Roma,1,9
Akira Shimazu,Female,Alive,High Table Vault,High Table Vault,Sniper,Rifle,calm,0,Tarkov Brotherhood,6,1
Eli,Male,Excommunicated,The Desert,The Desert,Manager,Rifle,vengeful,1,High Table Vault,6,5
Ares,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Information Broker,Rifle,grieving,2,Continental NYC,1,8
Anton,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Courier,Poison,focused,3,Bowery Network,6,8
Ernest,Male,Alive,The Desert,The Desert,Sniper,Bare Hands,focused,1,High Table Vault,3,9
Katia Jovonovich,Female,Deceased,Continental Osaka,Continental Osaka,Sniper,Knife,focused,2,Berlin,2,10
Yen,Female,Deceased,Continental NYC,Continental NYC,Assassin,Poison,vengeful,4,Casablanca,7,9
Tatiana,Female,Alive,Berlin,Berlin,Assassin,Pistol,nervous,5,Continental NYC,7,7
Sebastian,Male,Excommunicated,Continental Osaka,Continental Osaka,Cleaner,Pistol,focused,3,Bowery Network,5,6
Nogi,Male,Alive,The Desert,The Desert,Sniper,Rifle,strategic,1,Ruska Roma,6,7
The Russian,Male,Deceased,Continental Osaka,Continental Osaka,Information Broker,Rifle,vengeful,4,High Table Vault,9,4
Cassian,Male,Deceased,The Desert,The Desert,Assassin,Poison,vengeful,5,High Table Vault,4,4
Daisy,Female,Excommunicated,Continental Osaka,Continental Osaka,Sniper,Katana,strategic,4,Tarkov Brotherhood,8,2
Eli,Male,Alive,The Desert,The Desert,Sniper,Katana,grieving,5,Tarkov Brotherhood,3,4
Yuri,Male,Alive,Ruska Roma,Ruska Roma,Doctor,Bare Hands,focused,3,Ruska Roma,7,5
Zero,Male,Deceased,Berlin,Berlin,Doctor,Explosives,nervous,4,Ruska Roma,3,5
Lena Macarro,Female,Deceased,Bowery Network,Bowery Network,Sniper,Poison,furious,5,The Desert,6,4
Gretel,Male,Alive,Continental NYC,Continental NYC,Cleaner,Knife,grieving,1,High Table,2,3
The Priest,Male,Excommunicated,Bowery Network,Bowery Network,Manager,Bare Hands,nervous,1,The Desert,2,10
The Director,Female,Deceased,Berlin,Berlin,Sniper,Katana,grieving,1,The Desert,2,6
Ekaterina,Female,Excommunicated,Ruska Roma,Ruska Roma,Information Broker,Rifle,vengeful,4,Bowery Network,2,2
Ernest,Male,Alive,The Desert,The Desert,Courier,Rifle,grieving,5,Continental NYC,2,1
Uncle Charlie,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Manager,Pistol,strategic,2,Tarkov Brotherhood,5,3
Iosef Tarasov,Male,Excommunicated,Berlin,Berlin,Courier,Explosives,furious,0,Casablanca,6,3
Boris,Male,Excommunicated,High Table,High Table,Information Broker,Pistol,strategic,2,High Table Vault,5,9
Jardani Jovonovich,Male,Deceased,Ruska Roma,Ruska Roma,Scout,Bare Hands,focused,3,Casablanca,10,4
Miles Burton,Male,Alive,Berlin,Berlin,Cleaner,Rifle,cold,5,High Table Vault,6,7
Frank,Male,Excommunicated,Continental Osaka,Continental Osaka,Doctor,Shotgun,cold,0,Casablanca,2,4
Orson,Male,Excommunicated,High Table Vault,High Table Vault,Cleaner,Bare Hands,furious,2,Tarkov Brotherhood,7,10
Marquis Vincent Bisset de Gramont,Male,Excommunicated,Berlin,Berlin,Courier,Bare Hands,focused,0,Tarkov Brotherhood,5,8
Victor,Male,Excommunicated,The Desert,The Desert,Information Broker,Pistol,nervous,5,The Desert,3,6
Eve Macarro,Female,Alive,Berlin,Berlin,Doctor,Explosives,furious,3,The Desert,10,5
Berrada,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Sniper,Rifle,vengeful,1,Tarkov Brotherhood,10,1
Ivana,Female,Deceased,Bowery Network,Bowery Network,Courier,Knife,calm,5,Continental Osaka,3,4
Cassian,Male,Alive,The Desert,The Desert,Manager,Pistol,vengeful,1,Casablanca,6,7
Drago,Male,Alive,Continental Osaka,Continental Osaka,Manager,Poison,furious,2,Yakuza Syndicate,5,6
The Priest,Male,Excommunicated,Bowery Network,Bowery Network,Doctor,Bare Hands,calm,5,Tarkov Brotherhood,10,6
Mykel,Male,Deceased,High Table Vault,High Table Vault,Information Broker,Poison,calm,4,High Table,1,10
Caine,Male,Excommunicated,Berlin,Berlin,Cleaner,Shotgun,focused,3,Ruska Roma,7,5
Drago,Male,Deceased,Continental Osaka,Continental Osaka,Courier,Pistol,strategic,5,High Table Vault,1,2
Sasha,Female,Deceased,Continental NYC,Continental NYC,Manager,Poison,calm,1,Yakuza Syndicate,10,2
The Adjudicator,Female,Excommunicated,Ruska Roma,Ruska Roma,Assassin,Katana,strategic,5,Ruska Roma,4,2
Prudence,Male,Excommunicated,Casablanca,Casablanca,Doctor,Knife,grieving,1,Casablanca,8,3
The Elder,Male,Alive,Continental Osaka,Continental Osaka,Assassin,Knife,strategic,3,Bowery Network,7,4
The Priest,Male,Alive,Bowery Network,Bowery Network,Manager,Pistol,vengeful,3,Continental NYC,8,5
Camille,Female,Excommunicated,Casablanca,Casablanca,Information Broker,Rifle,focused,4,Continental Osaka,4,6
Thomas Sadzik,Male,Alive,The Desert,The Desert,Courier,Shotgun,furious,3,Bowery Network,10,5
Young Winston Scott,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Sniper,Pistol,focused,4,The Desert,1,7
Sebastian,Male,Excommunicated,Continental Osaka,Continental Osaka,Information Broker,Knife,strategic,1,The Desert,9,3
Charon O'Connor,Male,Excommunicated,High Table Vault,High Table Vault,Doctor,Bare Hands,cold,4,Continental Osaka,6,3
Karl,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Manager,Knife,nervous,2,High Table,7,5
Cassian,Male,Excommunicated,The Desert,The Desert,Doctor,Shotgun,calm,2,The Desert,7,10
Boris,Male,Alive,High Table,High Table,Information Broker,Bare Hands,strategic,5,High Table Vault,7,8
Jardani Jovonovich,Male,Alive,Ruska Roma,Ruska Roma,Doctor,Rifle,calm,1,High Table Vault,8,10
Petrov,Male,Excommunicated,Berlin,Berlin,Manager,Bare Hands,cold,3,High Table,3,2
Yen,Female,Excommunicated,Continental NYC,Continental NYC,Scout,Shotgun,strategic,4,The Desert,3,6
Sofia Al-Azwar,Female,Deceased,High Table Vault,High Table Vault,Cleaner,Shotgun,nervous,1,Ruska Roma,9,8
Ivana,Female,Deceased,Bowery Network,Bowery Network,Doctor,Shotgun,nervous,1,The Desert,4,2
Winston Scott,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Scout,Poison,calm,2,Tarkov Brotherhood,7,9
Mykel,Male,Deceased,High Table Vault,High Table Vault,Information Broker,Katana,strategic,3,High Table Vault,4,1
Mykel,Male,Alive,High Table Vault,High Table Vault,Doctor,Shotgun,strategic,3,High Table Vault,5,10
Charon O'Connor,Male,Alive,High Table Vault,High Table Vault,Scout,Explosives,calm,3,High Table Vault,10,2
Cormac O'Connor,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Manager,Explosives,furious,3,High Table,2,4
Silas,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Assassin,Bare Hands,focused,2,Berlin,9,8
Frankie Scott,Male,Deceased,High Table,High Table,Sniper,Explosives,cold,1,Tarkov Brotherhood,4,9
Uncle Pyotr Jovonovich,Male,Deceased,Berlin,Berlin,Doctor,Poison,nervous,1,Continental Osaka,2,1
The Tailor,Male,Alive,Ruska Roma,Ruska Roma,Sniper,Shotgun,focused,0,Continental NYC,8,4
Tatiana,Female,Deceased,Berlin,Berlin,Cleaner,Shotgun,nervous,0,Continental Osaka,10,4
The Elder,Male,Deceased,Continental Osaka,Continental Osaka,Assassin,Knife,cold,4,Bowery Network,4,1
The Cook,Male,Excommunicated,Berlin,Berlin,Courier,Explosives,nervous,0,Casablanca,1,4
Cassian,Male,Excommunicated,The Desert,The Desert,Sniper,Katana,cold,2,Bowery Network,10,9
Frank,Male,Deceased,Continental Osaka,Continental Osaka,Sniper,Knife,grieving,0,The Desert,8,1
Mayhew,Male,Deceased,Casablanca,Casablanca,Scout,Explosives,grieving,1,Bowery Network,1,1
Nogi,Male,Deceased,The Desert,The Desert,Cleaner,Knife,vengeful,3,Continental Osaka,1,6
Tarak,Male,Deceased,High Table Vault,High Table Vault,Cleaner,Shotgun,calm,4,Tarkov Brotherhood,10,8
Sofia Al-Azwar,Female,Excommunicated,High Table Vault,High Table Vault,Doctor,Bare Hands,focused,2,Bowery Network,4,1
Nogi,Male,Excommunicated,The Desert,The Desert,Doctor,Pistol,furious,1,Ruska Roma,7,9
Gretel,Male,Deceased,Continental NYC,Continental NYC,Scout,Katana,strategic,4,Ruska Roma,6,6
Nogi,Male,Excommunicated,The Desert,The Desert,Information Broker,Rifle,grieving,1,The Desert,7,3
Gregor,Male,Alive,Ruska Roma,Ruska Roma,Assassin,Explosives,calm,2,Continental NYC,2,10
Francis,Male,Excommunicated,High Table Vault,High Table Vault,Scout,Pistol,strategic,3,Tarkov Brotherhood,8,7
Uncle Pyotr Jovonovich,Male,Alive,Berlin,Berlin,Doctor,Pistol,vengeful,2,Continental Osaka,8,9
Ms. Perkins,Female,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Scout,Pistol,calm,1,Bowery Network,6,2
Ernest,Male,Deceased,The Desert,The Desert,Cleaner,Katana,vengeful,4,Continental NYC,5,3
Hansel,Male,Excommunicated,Ruska Roma,Ruska Roma,Scout,Katana,vengeful,3,Bowery Network,10,7
The Chancellor,Male,Excommunicated,Casablanca,Casablanca,Assassin,Explosives,grieving,1,The Desert,8,4
Petrov,Male,Deceased,Berlin,Berlin,Information Broker,Shotgun,cold,1,High Table Vault,3,5
Camille,Female,Excommunicated,Casablanca,Casablanca,Scout,Katana,furious,4,Continental NYC,6,9
Katya Jovonovich,Female,Deceased,Continental Osaka,Continental Osaka,Sniper,Bare Hands,nervous,4,Continental NYC,3,7
Calamity,Female,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Scout,Shotgun,focused,3,Casablanca,9,5
Daisy,Female,Deceased,Continental Osaka,Continental Osaka,Cleaner,Bare Hands,strategic,5,Continental NYC,1,3
Charon O'Connor,Male,Alive,High Table Vault,High Table Vault,Manager,Poison,grieving,2,High Table Vault,1,4
The Russian,Male,Alive,Continental Osaka,Continental Osaka,Sniper,Rifle,nervous,1,The Desert,2,8
Semyon,Male,Alive,The Desert,The Desert,Scout,Bare Hands,furious,5,High Table Vault,2,5
Semyon,Male,Excommunicated,The Desert,The Desert,Sniper,Explosives,furious,5,High Table,6,8
Drago,Male,Excommunicated,Continental Osaka,Continental Osaka,Courier,Pistol,cold,5,Berlin,8,9
Silas,Male,Deceased,Yakuza Syndicate,Yakuza Syndicate,Information Broker,Rifle,calm,4,High Table,2,10
Victor,Male,Excommunicated,The Desert,The Desert,Sniper,Pistol,vengeful,2,High Table,1,10
Camille,Female,Excommunicated,Casablanca,Casablanca,Cleaner,Explosives,grieving,2,Berlin,6,7
Mikhail Jovonovich,Male,Deceased,High Table Vault,High Table Vault,Sniper,Pistol,furious,1,Yakuza Syndicate,8,5
Frankie Scott,Male,Deceased,High Table,High Table,Courier,Pistol,nervous,3,Bowery Network,7,9
Eli,Male,Excommunicated,The Desert,The Desert,Assassin,Rifle,vengeful,4,Yakuza Syndicate,3,9
Iosef Tarasov,Male,Deceased,Berlin,Berlin,Sniper,Bare Hands,strategic,3,High Table Vault,7,3
The Tailor,Male,Deceased,Ruska Roma,Ruska Roma,Sniper,Explosives,grieving,5,Yakuza Syndicate,1,10
Daisy,Female,Excommunicated,Continental Osaka,Continental Osaka,Assassin,Katana,furious,4,High Table,5,4
Daniel Pine,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Katana,grieving,3,Berlin,3,4
Petrov,Male,Deceased,Berlin,Berlin,Cleaner,Poison,strategic,0,Casablanca,6,3
Francis,Male,Deceased,High Table Vault,High Table Vault,Scout,Katana,focused,5,Ruska Roma,1,4
Charon O'Connor,Male,Excommunicated,High Table Vault,High Table Vault,Sniper,Knife,nervous,1,Berlin,7,4
Daisy,Female,Alive,Continental Osaka,Continental Osaka,Assassin,Katana,strategic,3,Bowery Network,7,8
The Tailor,Male,Alive,Ruska Roma,Ruska Roma,Courier,Bare Hands,cold,0,Ruska Roma,5,8
Semyon,Male,Deceased,The Desert,The Desert,Cleaner,Rifle,cold,1,The Desert,9,1
Karl,Male,Deceased,Yakuza Syndicate,Yakuza Syndicate,Manager,Shotgun,grieving,4,Bowery Network,3,8
Tarak,Male,Alive,High Table Vault,High Table Vault,Scout,Shotgun,cold,0,Casablanca,6,7
Yegor,Male,Excommunicated,Continental Osaka,Continental Osaka,Sniper,Pistol,grieving,5,Yakuza Syndicate,1,4
Iosef Tarasov,Male,Excommunicated,Berlin,Berlin,Cleaner,Knife,nervous,3,Yakuza Syndicate,4,4
Felix,Male,Deceased,Yakuza Syndicate,Yakuza Syndicate,Manager,Katana,strategic,4,Continental Osaka,10,1
Viggo Tarasov,Male,Excommunicated,Ruska Roma,Ruska Roma,Manager,Rifle,vengeful,2,Casablanca,8,2
Otto,Male,Alive,Ruska Roma,Ruska Roma,Scout,Explosives,calm,0,Yakuza Syndicate,6,8
Thomas Sadzik,Male,Alive,The Desert,The Desert,Manager,Bare Hands,grieving,2,Berlin,5,2
Mikhail Jovonovich,Male,Excommunicated,High Table Vault,High Table Vault,Doctor,Pistol,calm,4,Berlin,5,7
Karl,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Manager,Knife,vengeful,2,Tarkov Brotherhood,8,7
Mykel,Male,Deceased,High Table Vault,High Table Vault,Cleaner,Poison,focused,4,Bowery Network,8,6
Marcus,Male,Deceased,Berlin,Berlin,Sniper,Rifle,calm,2,Berlin,4,3
Semyon,Male,Alive,The Desert,The Desert,Assassin,Knife,cold,2,The Desert,4,8
Karl,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Doctor,Explosives,calm,0,Casablanca,6,5
Gregor,Male,Deceased,Ruska Roma,Ruska Roma,Manager,Shotgun,focused,0,High Table,3,6
The Adjudicator,Female,Alive,Ruska Roma,Ruska Roma,Assassin,Knife,vengeful,0,Berlin,5,1
Daniel Pine,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Rifle,furious,0,Casablanca,6,6
Charlie,Male,Deceased,High Table,High Table,Information Broker,Poison,cold,4,High Table,10,9
Ms. Perkins,Female,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Information Broker,Bare Hands,furious,1,Ruska Roma,10,9
Rasha,Male,Deceased,High Table Vault,High Table Vault,Scout,Knife,furious,0,Tarkov Brotherhood,1,4
Sofia Al-Azwar,Female,Deceased,High Table Vault,High Table Vault,Scout,Shotgun,nervous,1,Continental NYC,2,8
Lark,Male,Excommunicated,Ruska Roma,Ruska Roma,Assassin,Pistol,vengeful,1,High Table Vault,8,4
Yen,Female,Deceased,Continental NYC,Continental NYC,Manager,Knife,grieving,4,Bowery Network,2,7
Abraham,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Assassin,Shotgun,cold,3,Berlin,5,5
The Elder,Male,Deceased,Continental Osaka,Continental Osaka,Courier,Knife,furious,3,High Table,8,3
Drago,Male,Deceased,Continental Osaka,Continental Osaka,Cleaner,Knife,furious,3,Casablanca,10,5
Camille,Female,Deceased,Casablanca,Casablanca,Doctor,Pistol,cold,1,Ruska Roma,6,3
Petrov,Male,Alive,Berlin,Berlin,Cleaner,Rifle,cold,2,Bowery Network,10,5
Berrada,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Information Broker,Rifle,vengeful,4,Continental Osaka,8,6
Eve Macarro,Female,Alive,Berlin,Berlin,Sniper,Poison,cold,1,High Table Vault,3,2
Anton,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Assassin,Pistol,cold,3,Bowery Network,6,4
Calamity,Female,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Explosives,focused,3,Yakuza Syndicate,2,2
Mykel,Male,Deceased,High Table Vault,High Table Vault,Assassin,Shotgun,calm,2,The Desert,10,4
"Kate ""KD"" Di Silva",Female,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Doctor,Knife,focused,1,High Table,2,3
O'Connor,Male,Excommunicated,Continental Osaka,Continental Osaka,Manager,Pistol,calm,1,Ruska Roma,4,3
Frank,Male,Alive,Continental Osaka,Continental Osaka,Scout,Shotgun,furious,1,Casablanca,4,3
Tarak,Male,Deceased,High Table Vault,High Table Vault,Scout,Bare Hands,furious,3,Tarkov Brotherhood,6,3
The Chancellor,Male,Excommunicated,Casablanca,Casablanca,Assassin,Shotgun,strategic,5,Bowery Network,9,6
The Tailor,Male,Deceased,Ruska Roma,Ruska Roma,Cleaner,Rifle,focused,0,Continental NYC,1,8
Mr. Nobody,Male,Deceased,Berlin,Berlin,Courier,Shotgun,vengeful,0,Tarkov Brotherhood,7,3
The Harbinger,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Sniper,Knife,focused,1,Ruska Roma,6,8
Katia Jovonovich,Female,Alive,Continental Osaka,Continental Osaka,Scout,Explosives,focused,4,Yakuza Syndicate,4,1
Ekaterina,Female,Excommunicated,Ruska Roma,Ruska Roma,Doctor,Rifle,calm,1,The Desert,1,8
Charlie,Male,Alive,High Table,High Table,Sniper,Shotgun,nervous,0,The Desert,8,10
Ella Pine,Female,Alive,Casablanca,Casablanca,Information Broker,Katana,calm,2,Bowery Network,10,6
The Priest,Male,Deceased,Bowery Network,Bowery Network,Information Broker,Explosives,furious,2,High Table Vault,4,5
Katia Jovonovich,Female,Alive,Continental Osaka,Continental Osaka,Manager,Pistol,strategic,5,Casablanca,7,7
Thomas Sadzik,Male,Excommunicated,The Desert,The Desert,Manager,Knife,vengeful,3,Ruska Roma,7,8
Charlie,Male,Excommunicated,High Table,High Table,Sniper,Explosives,cold,5,Berlin,8,1
Ms. Perkins,Female,Alive,Yakuza Syndicate,Yakuza Syndicate,Information Broker,Poison,calm,4,Tarkov Brotherhood,10,5
Uncle Charlie,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Scout,Bare Hands,strategic,3,Continental NYC,6,9
Winston Scott,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Poison,focused,3,High Table Vault,2,4
Prudence,Male,Excommunicated,Casablanca,Casablanca,Scout,Explosives,nervous,1,Bowery Network,2,6
Ms. Perkins,Female,Alive,Yakuza Syndicate,Yakuza Syndicate,Doctor,Shotgun,strategic,5,Yakuza Syndicate,4,9
Akira Shimazu,Female,Deceased,High Table Vault,High Table Vault,Sniper,Shotgun,grieving,4,Continental Osaka,9,3
Jardani Jovonovich,Male,Excommunicated,Ruska Roma,Ruska Roma,Information Broker,Explosives,cold,2,Berlin,4,4
Lena Macarro,Female,Deceased,Bowery Network,Bowery Network,Scout,Rifle,vengeful,2,High Table Vault,2,10
Iosef Tarasov,Male,Deceased,Berlin,Berlin,Courier,Explosives,vengeful,0,Berlin,8,1
Lou Burton,Male,Alive,Bowery Network,Bowery Network,Scout,Explosives,vengeful,5,Yakuza Syndicate,7,3
Ekaterina,Female,Alive,Ruska Roma,Ruska Roma,Information Broker,Pistol,focused,1,Continental Osaka,10,6
Calamity,Female,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Manager,Bare Hands,cold,2,The Desert,8,5
Ella Pine,Female,Deceased,Casablanca,Casablanca,Cleaner,Poison,strategic,1,Tarkov Brotherhood,2,9
Miles Burton,Male,Deceased,Berlin,Berlin,Sniper,Katana,vengeful,1,Berlin,2,6
Lark,Male,Alive,Ruska Roma,Ruska Roma,Courier,Pistol,strategic,1,High Table Vault,4,6
Caine,Male,Deceased,Berlin,Berlin,Assassin,Katana,cold,4,Ruska Roma,4,3
Young Charon O'Connor,Male,Excommunicated,The Desert,The Desert,Courier,Bare Hands,focused,1,The Desert,4,1
The Tailor,Male,Deceased,Ruska Roma,Ruska Roma,Courier,Explosives,calm,5,Ruska Roma,7,1
Luca,Male,Deceased,High Table Vault,High Table Vault,Doctor,Explosives,focused,4,Casablanca,4,5
Ekaterina,Female,Excommunicated,Ruska Roma,Ruska Roma,Information Broker,Explosives,grieving,1,Tarkov Brotherhood,2,7
Yen,Female,Excommunicated,Continental NYC,Continental NYC,Information Broker,Shotgun,strategic,4,High Table,7,7
Charlie,Male,Deceased,High Table,High Table,Courier,Poison,furious,0,High Table,1,8
Aurelio,Male,Deceased,Continental NYC,Continental NYC,Cleaner,Bare Hands,vengeful,1,The Desert,9,3
Francis,Male,Excommunicated,High Table Vault,High Table Vault,Cleaner,Bare Hands,vengeful,1,Tarkov Brotherhood,8,4
Yegor,Male,Alive,Continental Osaka,Continental Osaka,Assassin,Poison,strategic,4,Tarkov Brotherhood,4,1
Daisy,Female,Deceased,Continental Osaka,Continental Osaka,Doctor,Explosives,nervous,3,Yakuza Syndicate,3,4
Young Winston Scott,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Katana,calm,0,Ruska Roma,5,8
The Priest,Male,Deceased,Bowery Network,Bowery Network,Manager,Katana,calm,1,Continental Osaka,7,10
Tatarkov,Male,Alive,Bowery Network,Bowery Network,Information Broker,Shotgun,grieving,5,The Desert,8,4
Felix,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Information Broker,Katana,calm,5,Yakuza Syndicate,9,1
Mr. Nobody,Male,Alive,Berlin,Berlin,Doctor,Rifle,calm,2,Yakuza Syndicate,8,1
Orson,Male,Excommunicated,High Table Vault,High Table Vault,Sniper,Poison,focused,2,Continental Osaka,5,5
The Doctor,Male,Alive,Berlin,Berlin,Scout,Rifle,calm,1,Continental NYC,10,5
Rufus,Male,Deceased,Bowery Network,Bowery Network,Information Broker,Explosives,grieving,1,Tarkov Brotherhood,5,6
